"","card1","card2","suit/off","win","tie","loss"
"34","5","6","s","0.399930885555794","0.0662139343337308","0.533855180110475"
"35","5","7","s","0.40749459411517","0.0639843153962634","0.528521090488567"
"36","5","8","s","0.417724310693175","0.0610599533897893","0.521215735917036"
"37","5","9","s","0.430590309969175","0.0581788245592472","0.511230865471578"
"38","5","t","s","0.446194975480725","0.0555946415621911","0.498210382957084"
"39","5","j","s","0.473860448670566","0.0533831150645504","0.472756436264884"
"40","5","q","s","0.501552649113387","0.0511176493575831","0.44732970152903"
"41","5","k","s","0.5313086455608","0.0490982781898844","0.419593076249316"
"42","5","a","s","0.573060315011603","0.046472084415144","0.380467600573253"
"43","6","7","s","0.42425914769079","0.0606336721471343","0.515107180162076"
"44","6","8","s","0.434839451396367","0.0582159079134346","0.506944640690198"
"45","6","9","s","0.447984256777893","0.0552621634252921","0.496753579796815"
"46","6","t","s","0.463855551700627","0.0525605498066426","0.48358389849273"
"47","6","j","s","0.480834419825486","0.0503955028152896","0.468770077359225"
"48","6","q","s","0.510489465565784","0.048432305221219","0.441078229212997"
"49","6","k","s","0.540293012595705","0.046404507308154","0.413302480096141"
"50","6","a","s","0.573134190897957","0.0439783399731547","0.382887469128888"
"51","7","8","s","0.45463388571926","0.0539094934635126","0.491456620817227"
"52","7","9","s","0.467505379876357","0.0514194942416862","0.481075125881957"
"53","7","t","s","0.483535709520422","0.0486237701444138","0.467840520335165"
"54","7","j","s","0.500846663290672","0.0462428410022012","0.452910495707126"
"55","7","q","s","0.520516944983813","0.044431230248456","0.435051824767731"
"56","7","k","s","0.552135729767309","0.0426637700604301","0.405200500172261"
"57","7","a","s","0.58622518238371","0.0408122173848353","0.372962600231455"
"58","8","9","s","0.48686758174501","0.0469914712635877","0.466140946991402"
"59","8","t","s","0.502798041215807","0.0446078797994665","0.452594078984726"
"60","8","j","s","0.520154018017838","0.0421156580353717","0.43773032394679"
"61","8","q","s","0.540242979386195","0.0400111162106634","0.419745904403142"
"62","8","k","s","0.562727552862175","0.0384393485049554","0.39883309863287"
"63","8","a","s","0.598700522567921","0.0365782578128603","0.364721219619219"
"64","9","t","s","0.522098125392468","0.0404158435221291","0.437486031085403"
"65","9","j","s","0.53880176475909","0.0383525842378513","0.422845651003059"
"66","9","q","s","0.558994015232756","0.0360984298523857","0.404907554914858"
"67","9","k","s","0.581955182160888","0.0342146857800005","0.383830132059111"
"68","9","a","s","0.609799754427049","0.0325140910125573","0.357686154560394"
"69","t","j","s","0.559770881238577","0.0341560177573372","0.406073101004086"
"70","t","q","s","0.579036870671079","0.0325681602642506","0.388394969064671"
"71","t","k","s","0.602055185308387","0.0305668673499386","0.367377947341675"
"72","t","a","s","0.630242932287214","0.0286298555597207","0.341127212153065"
"73","j","q","s","0.589234648843807","0.0298807756449316","0.380884575511261"
"74","j","k","s","0.612176612060978","0.027827319190701","0.359996068748321"
"75","j","a","s","0.640594463096776","0.0257009113331232","0.333704625570101"
"76","q","k","s","0.622684210261502","0.0253798769244994","0.351935912813998"
"77","q","a","s","0.650963961032611","0.0232264722715816","0.325809566695808"
"78","k","a","s","0.661093552081429","0.0214826632434598","0.317423784675111"
"79","2","3","o","0.293009042896452","0.0642929250395534","0.642698032063994"
"80","2","4","o","0.299122171992585","0.0618509701920124","0.639026857815402"
"81","2","5","o","0.307717977537589","0.05986771541235","0.632414307050061"
"82","2","6","o","0.301583669938135","0.0579232318049862","0.640493098256879"
"83","2","7","o","0.304822145047328","0.055281486949716","0.639896368002956"
"84","2","8","o","0.324151740561078","0.0539242031717959","0.621924056267126"
